INDEX,EXPRESSION,DATETIME,CLOSE
275,D6U21-D6Z21,2021-06-02T12:29:00,0.0006
276,D6U21-D6Z21,2021-06-02T12:33:00,0.00065
277,D6U21-D6Z21,2021-06-02T12:37:00,-0.0005
278,D6U21-D6Z21,2021-06-02T12:43:00,-0.00065
279,D6U21-D6Z21,2021-06-02T12:47:00,-0.00065
280,D6U21-D6Z21,2021-06-02T12:54:00,-0.0005
281,D6U21-D6Z21,2021-06-02T12:55:00,-0.00055
282,D6U21-D6Z21,2021-06-02T13:00:00,-0.0004
283,D6U21-D6Z21,2021-06-02T13:01:00,-0.0004
284,D6U21-D6Z21,2021-06-02T13:18:00,-0.0004
285,D6U21-D6Z21,2021-06-02T13:37:00,-0.0002
286,D6U21-D6Z21,2021-06-02T13:40:00,-0.0001
287,D6U21-D6Z21,2021-06-02T13:48:00,0.00015
288,D6U21-D6Z21,2021-06-02T13:51:00,0.0002
289,D6U21-D6Z21,2021-06-02T13:53:00,0.0003
290,D6U21-D6Z21,2021-06-02T13:56:00,0.0003
291,D6U21-D6Z21,2021-06-02T13:59:00,0.00025
292,D6U21-D6Z21,2021-06-02T14:05:00,0.0003
293,D6U21-D6Z21,2021-06-02T14:13:00,0.0002
294,D6U21-D6Z21,2021-06-02T14:18:00,0.0003
295,D6U21-D6Z21,2021-06-02T14:20:00,0.0003
296,D6U21-D6Z21,2021-06-02T14:28:00,0.0004
297,D6U21-D6Z21,2021-06-02T14:36:00,0.00045
298,D6U21-D6Z21,2021-06-02T14:40:00,0.00045
299,D6U21-D6Z21,2021-06-02T14:41:00,0.00015
300,D6U21-D6Z21,2021-06-02T14:47:00,0.00015
301,D6U21-D6Z21,2021-06-02T14:50:00,0.0002
302,D6U21-D6Z21,2021-06-02T14:57:00,0.0001
303,D6U21-D6Z21,2021-06-02T15:08:00,0
304,D6U21-D6Z21,2021-06-02T15:21:00,-0.0002
305,D6U21-D6Z21,2021-06-02T15:27:00,0.0027
306,D6U21-D6Z21,2021-06-02T15:31:00,0.00275
307,D6U21-D6Z21,2021-06-02T15:37:00,0.0027
308,D6U21-D6Z21,2021-06-02T15:38:00,0.00285
309,D6U21-D6Z21,2021-06-02T15:47:00,0.00285
310,D6U21-D6Z21,2021-06-02T15:49:00,0.0029
311,D6U21-D6Z21,2021-06-02T15:56:00,0.00285
312,D6U21-D6Z21,2021-06-02T15:57:00,0.0029
313,D6U21-D6Z21,2021-06-02T17:13:00,0.0026
314,D6U21-D6Z21,2021-06-02T17:19:00,0.00275
315,D6U21-D6Z21,2021-06-02T17:44:00,0.0028
316,D6U21-D6Z21,2021-06-02T17:47:00,0.0028
317,D6U21-D6Z21,2021-06-02T17:52:00,0.0027
318,D6U21-D6Z21,2021-06-02T18:00:00,0.00265
319,D6U21-D6Z21,2021-06-02T18:40:00,0.0025
320,D6U21-D6Z21,2021-06-02T18:56:00,0.0025
321,D6U21-D6Z21,2021-06-02T19:03:00,0.00255
322,D6U21-D6Z21,2021-06-02T19:21:00,0.0027
323,D6U21-D6Z21,2021-06-02T19:26:00,0.0028
324,D6U21-D6Z21,2021-06-02T19:37:00,0.00295
325,D6U21-D6Z21,2021-06-02T19:39:00,0.00295
326,D6U21-D6Z21,2021-06-02T19:40:00,0.003
327,D6U21-D6Z21,2021-06-02T19:48:00,0.0032
328,D6U21-D6Z21,2021-06-02T19:49:00,0.00325
329,D6U21-D6Z21,2021-06-02T20:23:00,0.00285
330,D6U21-D6Z21,2021-06-02T20:24:00,0.0029
331,D6U21-D6Z21,2021-06-02T20:29:00,0.00295
332,D6U21-D6Z21,2021-06-02T20:40:00,0.00285
333,D6U21-D6Z21,2021-06-02T21:10:00,0.00255
334,D6U21-D6Z21,2021-06-02T21:23:00,0.00255
335,D6U21-D6Z21,2021-06-02T21:30:00,0.0025
336,D6U21-D6Z21,2021-06-02T21:31:00,0.00245
337,D6U21-D6Z21,2021-06-02T21:50:00,0.0022
338,D6U21-D6Z21,2021-06-02T22:07:00,0.00235
339,D6U21-D6Z21,2021-06-02T23:24:00,0.0026
340,D6U21-D6Z21,2021-06-02T23:31:00,0.0026
341,D6U21-D6Z21,2021-06-02T23:32:00,0.0026
342,D6U21-D6Z21,2021-06-02T23:33:00,0.00265
343,D6U21-D6Z21,2021-06-02T23:34:00,0.00265
344,D6U21-D6Z21,2021-06-03T00:00:00,0.0022
345,D6U21-D6Z21,2021-06-03T00:01:00,0.0022
346,D6U21-D6Z21,2021-06-03T00:15:00,0.00225
347,D6U21-D6Z21,2021-06-03T00:29:00,0.00205
348,D6U21-D6Z21,2021-06-03T00:30:00,0.00205
349,D6U21-D6Z21,2021-06-03T00:47:00,0.00185
350,D6U21-D6Z21,2021-06-03T00:52:00,0.00185
351,D6U21-D6Z21,2021-06-03T01:09:00,0.0018
352,D6U21-D6Z21,2021-06-03T01:31:00,0.0016
353,D6U21-D6Z21,2021-06-03T01:39:00,0.00155
354,D6U21-D6Z21,2021-06-03T01:41:00,0.0015
355,D6U21-D6Z21,2021-06-03T01:54:00,0.0016
356,D6U21-D6Z21,2021-06-03T02:01:00,0.0014
357,D6U21-D6Z21,2021-06-03T02:04:00,0.00135
358,D6U21-D6Z21,2021-06-03T02:05:00,0.00125
359,D6U21-D6Z21,2021-06-03T02:07:00,0.00145
360,D6U21-D6Z21,2021-06-03T02:09:00,0.0013
361,D6U21-D6Z21,2021-06-03T02:12:00,0.0013
362,D6U21-D6Z21,2021-06-03T02:13:00,0.0014
363,D6U21-D6Z21,2021-06-03T02:14:00,0.0015
364,D6U21-D6Z21,2021-06-03T02:15:00,0.0014
365,D6U21-D6Z21,2021-06-03T02:16:00,0.0013
366,D6U21-D6Z21,2021-06-03T02:18:00,0.0015
367,D6U21-D6Z21,2021-06-03T02:27:00,0.0012
368,D6U21-D6Z21,2021-06-03T02:28:00,0.0014
369,D6U21-D6Z21,2021-06-03T02:29:00,0.0014
370,D6U21-D6Z21,2021-06-03T02:30:00,0.00135
371,D6U21-D6Z21,2021-06-03T02:32:00,0.00125
372,D6U21-D6Z21,2021-06-03T02:35:00,0.0015
373,D6U21-D6Z21,2021-06-03T02:46:00,0.001
374,D6U21-D6Z21,2021-06-03T02:47:00,0.00085
375,D6U21-D6Z21,2021-06-03T02:49:00,0.00085
376,D6U21-D6Z21,2021-06-03T02:51:00,0.00085
377,D6U21-D6Z21,2021-06-03T02:52:00,0.00075
378,D6U21-D6Z21,2021-06-03T02:53:00,0.0007
379,D6U21-D6Z21,2021-06-03T02:54:00,0.00085
380,D6U21-D6Z21,2021-06-03T02:55:00,0.0009
381,D6U21-D6Z21,2021-06-03T03:00:00,0.0006
382,D6U21-D6Z21,2021-06-03T03:02:00,0.0006
383,D6U21-D6Z21,2021-06-03T03:06:00,0.00065
384,D6U21-D6Z21,2021-06-03T03:10:00,0.00085
385,D6U21-D6Z21,2021-06-03T03:15:00,0.00085
386,D6U21-D6Z21,2021-06-03T03:20:00,0.00085
387,D6U21-D6Z21,2021-06-03T03:22:00,0.0009
388,D6U21-D6Z21,2021-06-03T03:31:00,0.00115
389,D6U21-D6Z21,2021-06-03T03:33:00,0.00115
390,D6U21-D6Z21,2021-06-03T03:34:00,0.00115
391,D6U21-D6Z21,2021-06-03T03:39:00,0.00115
392,D6U21-D6Z21,2021-06-03T03:40:00,0.0011
393,D6U21-D6Z21,2021-06-03T03:54:00,0.0009
394,D6U21-D6Z21,2021-06-03T03:57:00,0.0008
395,D6U21-D6Z21,2021-06-03T04:00:00,0.0009
396,D6U21-D6Z21,2021-06-03T04:14:00,0.0009
397,D6U21-D6Z21,2021-06-03T04:15:00,0.0009
398,D6U21-D6Z21,2021-06-03T04:16:00,0.0008
399,D6U21-D6Z21,2021-06-03T04:17:00,0.0007
400,D6U21-D6Z21,2021-06-03T04:18:00,0.0007
401,D6U21-D6Z21,2021-06-03T04:19:00,0.0007
402,D6U21-D6Z21,2021-06-03T04:20:00,0.0008
403,D6U21-D6Z21,2021-06-03T04:24:00,0.00075
404,D6U21-D6Z21,2021-06-03T04:25:00,0.00095
405,D6U21-D6Z21,2021-06-03T04:28:00,0.0009
406,D6U21-D6Z21,2021-06-03T04:29:00,0.0009
407,D6U21-D6Z21,2021-06-03T04:30:00,0.00085
408,D6U21-D6Z21,2021-06-03T04:32:00,0.00105
409,D6U21-D6Z21,2021-06-03T04:35:00,0.00095
410,D6U21-D6Z21,2021-06-03T04:37:00,0.00105
411,D6U21-D6Z21,2021-06-03T04:38:00,0.001
412,D6U21-D6Z21,2021-06-03T04:39:00,0.00095
413,D6U21-D6Z21,2021-06-03T04:40:00,0.00085
414,D6U21-D6Z21,2021-06-03T04:43:00,0.0009
415,D6U21-D6Z21,2021-06-03T04:47:00,0.0011
416,D6U21-D6Z21,2021-06-03T04:56:00,0.001
417,D6U21-D6Z21,2021-06-03T04:59:00,0.0012
418,D6U21-D6Z21,2021-06-03T05:00:00,0.0015
419,D6U21-D6Z21,2021-06-03T05:03:00,0.0015
420,D6U21-D6Z21,2021-06-03T05:05:00,0.00145
421,D6U21-D6Z21,2021-06-03T05:06:00,0.0013
422,D6U21-D6Z21,2021-06-03T05:10:00,0.0015
423,D6U21-D6Z21,2021-06-03T05:15:00,0.0014
424,D6U21-D6Z21,2021-06-03T05:16:00,0.00135
425,D6U21-D6Z21,2021-06-03T05:27:00,0.00155
426,D6U21-D6Z21,2021-06-03T05:28:00,0.00145
427,D6U21-D6Z21,2021-06-03T05:30:00,0.00145
428,D6U21-D6Z21,2021-06-03T05:32:00,0.0013
429,D6U21-D6Z21,2021-06-03T05:33:00,0.0011
430,D6U21-D6Z21,2021-06-03T05:34:00,0.0009
431,D6U21-D6Z21,2021-06-03T05:42:00,0.00085
432,D6U21-D6Z21,2021-06-03T05:43:00,0.00095
433,D6U21-D6Z21,2021-06-03T05:44:00,0.00095
434,D6U21-D6Z21,2021-06-03T05:45:00,0.00095
435,D6U21-D6Z21,2021-06-03T05:48:00,0.00085
436,D6U21-D6Z21,2021-06-03T05:50:00,0.00065
437,D6U21-D6Z21,2021-06-03T05:52:00,0.00075
438,D6U21-D6Z21,2021-06-03T05:53:00,0.00075
439,D6U21-D6Z21,2021-06-03T05:54:00,0.00075
440,D6U21-D6Z21,2021-06-03T05:56:00,0.00075
441,D6U21-D6Z21,2021-06-03T05:57:00,0.0004
